14:38:42.54527 2022-05-05	START GAME
14:38:48.90033 2022-05-05	started CreatePlace(MainCity, City)
14:38:51.87362 2022-05-05	succeeded CreatePlace(MainCity, City)
14:38:51.88959 2022-05-05	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:38:51.90592 2022-05-05	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:38:51.92299 2022-05-05	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:38:51.94082 2022-05-05	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:38:51.95890 2022-05-05	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:38:51.97663 2022-05-05	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:38:51.99418 2022-05-05	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:38:52.01223 2022-05-05	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:38:52.02986 2022-05-05	started CreatePlace(GreenCottage, Cottage)
14:38:52.32956 2022-05-05	succeeded CreatePlace(GreenCottage, Cottage)
14:38:52.34557 2022-05-05	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:38:52.36259 2022-05-05	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:38:52.38071 2022-05-05	started CreatePlace(BrownCottage, Cottage)
14:38:52.68019 2022-05-05	succeeded CreatePlace(BrownCottage, Cottage)
14:38:52.69581 2022-05-05	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:38:52.71205 2022-05-05	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:38:52.73016 2022-05-05	started CreatePlace(RedCottage, Cottage)
14:38:53.03379 2022-05-05	succeeded CreatePlace(RedCottage, Cottage)
14:38:53.04987 2022-05-05	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:38:53.06668 2022-05-05	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:38:53.08477 2022-05-05	started CreatePlace(BlueCottage, Cottage)
14:38:53.38248 2022-05-05	succeeded CreatePlace(BlueCottage, Cottage)
14:38:53.39856 2022-05-05	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
14:38:53.41536 2022-05-05	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
14:38:53.43455 2022-05-05	started CreateCharacter(Kate,C)
14:38:53.45108 2022-05-05	succeeded CreateCharacter(Kate,C)
14:38:53.46949 2022-05-05	started SetHairStyle(Kate,Long)
14:38:53.48619 2022-05-05	succeeded SetHairStyle(Kate,Long)
14:38:53.50474 2022-05-05	started SetClothing(Kate,Queen)
14:38:53.52038 2022-05-05	succeeded SetClothing(Kate,Queen)
14:38:53.53878 2022-05-05	started CreateCharacter(Bob,F)
