01:19:44.67466 2022-05-05	START GAME
01:19:54.85779 2022-05-05	started CreatePlace(MainCity, City)
01:20:01.83610 2022-05-05	succeeded CreatePlace(MainCity, City)
01:20:01.84440 2022-05-05	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
01:20:01.85074 2022-05-05	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
01:20:01.85495 2022-05-05	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
01:20:01.85694 2022-05-05	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
01:20:01.86649 2022-05-05	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
01:20:01.88360 2022-05-05	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
01:20:01.90009 2022-05-05	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
01:20:01.91663 2022-05-05	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
01:20:01.93339 2022-05-05	started CreatePlace(GreenCottage, Cottage)
01:20:02.54483 2022-05-05	succeeded CreatePlace(GreenCottage, Cottage)
01:20:02.54717 2022-05-05	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
01:20:02.54899 2022-05-05	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
01:20:02.55127 2022-05-05	started CreatePlace(BrownCottage, Cottage)
01:20:03.15074 2022-05-05	succeeded CreatePlace(BrownCottage, Cottage)
01:20:03.15341 2022-05-05	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
01:20:03.15555 2022-05-05	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
01:20:03.15774 2022-05-05	started CreatePlace(RedCottage, Cottage)
01:20:03.79254 2022-05-05	succeeded CreatePlace(RedCottage, Cottage)
01:20:03.79608 2022-05-05	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
01:20:03.79925 2022-05-05	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
01:20:03.80198 2022-05-05	started CreatePlace(BlueCottage, Cottage)
01:20:04.37897 2022-05-05	succeeded CreatePlace(BlueCottage, Cottage)
01:20:04.38140 2022-05-05	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
01:20:04.38372 2022-05-05	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
01:20:04.38677 2022-05-05	started CreateCharacter(Kate,C)
01:20:04.40812 2022-05-05	succeeded CreateCharacter(Kate,C)
01:20:04.41341 2022-05-05	started SetHairStyle(Kate,Long)
01:20:04.42318 2022-05-05	succeeded SetHairStyle(Kate,Long)
01:20:04.44050 2022-05-05	started SetClothing(Kate,Queen)
01:20:04.46099 2022-05-05	succeeded SetClothing(Kate,Queen)
01:20:04.47338 2022-05-05	started CreateCharacter(Bob,F)
01:20:04.49428 2022-05-05	succeeded CreateCharacter(Bob,F)
01:20:04.50660 2022-05-05	started SetHairStyle(Bob,Mage_Full)
01:20:04.52261 2022-05-05	succeeded SetHairStyle(Bob,Mage_Full)
01:20:04.53966 2022-05-05	started SetClothing(Bob,HeavyArmour)
01:20:04.55693 2022-05-05	succeeded SetClothing(Bob,HeavyArmour)
01:20:04.57399 2022-05-05	started SetPosition(Kate,MainCity.Fountain)
01:20:04.87351 2022-05-05	succeeded SetPosition(Kate,MainCity.Fountain)
01:20:04.89038 2022-05-05	started SetPosition(Bob,MainCity.NorthEnd)
01:20:05.18966 2022-05-05	succeeded SetPosition(Bob,MainCity.NorthEnd)
01:20:05.20722 2022-05-05	started CreateCharacter(Tom,D)
01:20:05.22358 2022-05-05	succeeded CreateCharacter(Tom,D)
01:20:05.24041 2022-05-05	started SetHairStyle(Tom,Short, Short_Beard, Short_Full)
01:20:05.25691 2022-05-05	succeeded SetHairStyle(Tom,Short, Short_Beard, Short_Full)
