14:40:18.71587 2022-05-05	START GAME
14:40:24.97429 2022-05-05	started CreatePlace(MainCity, City)
14:40:28.04399 2022-05-05	succeeded CreatePlace(MainCity, City)
14:40:28.04777 2022-05-05	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:40:28.05082 2022-05-05	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:40:28.05303 2022-05-05	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:40:28.05420 2022-05-05	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:40:28.06452 2022-05-05	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:40:28.08102 2022-05-05	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:40:28.09770 2022-05-05	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:40:28.11439 2022-05-05	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:40:28.13118 2022-05-05	started CreatePlace(GreenCottage, Cottage)
14:40:28.43658 2022-05-05	succeeded CreatePlace(GreenCottage, Cottage)
14:40:28.43782 2022-05-05	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:40:28.43897 2022-05-05	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:40:28.44024 2022-05-05	started CreatePlace(BrownCottage, Cottage)
14:40:28.76591 2022-05-05	succeeded CreatePlace(BrownCottage, Cottage)
14:40:28.76776 2022-05-05	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:40:28.76914 2022-05-05	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:40:28.77068 2022-05-05	started CreatePlace(RedCottage, Cottage)
14:40:29.08536 2022-05-05	succeeded CreatePlace(RedCottage, Cottage)
14:40:29.08730 2022-05-05	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:40:29.08857 2022-05-05	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:40:29.09008 2022-05-05	started CreatePlace(BlueCottage, Cottage)
14:40:29.40123 2022-05-05	succeeded CreatePlace(BlueCottage, Cottage)
14:40:29.40298 2022-05-05	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
14:40:29.40430 2022-05-05	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
