14:37:52.92418 2022-05-05	START GAME
14:38:01.52501 2022-05-05	started CreatePlace(MainCity, City)
14:38:05.08330 2022-05-05	succeeded CreatePlace(MainCity, City)
14:38:05.10046 2022-05-05	started EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:38:05.11675 2022-05-05	succeeded EnableIcon("Open_Green_House_City_Door", Open, MainCity.GreenHouseDoor, "Green House Door", true)
14:38:05.13465 2022-05-05	started EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:38:05.15258 2022-05-05	succeeded EnableIcon("Open_Brown_House_City_Door", Open, MainCity.BrownHouseDoor, "Brown House Door", true)
14:38:05.16999 2022-05-05	started EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:38:05.18641 2022-05-05	succeeded EnableIcon("Open_Red_House_City_Door", Open, MainCity.RedHouseDoor, "Red House Door", true)
14:38:05.20491 2022-05-05	started EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:38:05.22231 2022-05-05	succeeded EnableIcon("Open_Blue_House_City_Door", Open, MainCity.BlueHouseDoor, "Blue House Door", true)
14:38:05.23932 2022-05-05	started CreatePlace(GreenCottage, Cottage)
14:38:05.55578 2022-05-05	succeeded CreatePlace(GreenCottage, Cottage)
14:38:05.57179 2022-05-05	started EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:38:05.58871 2022-05-05	succeeded EnableIcon("Open_Green_House_Door", Open, GreenCottage.Door, "Green House Door", true)
14:38:05.60687 2022-05-05	started CreatePlace(BrownCottage, Cottage)
14:38:05.95483 2022-05-05	succeeded CreatePlace(BrownCottage, Cottage)
14:38:05.97011 2022-05-05	started EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:38:05.97162 2022-05-05	succeeded EnableIcon("Open_Brown_House_Door", Open, BrownCottage.Door, "Brown House Door", true)
14:38:05.97285 2022-05-05	started CreatePlace(RedCottage, Cottage)
14:38:06.28171 2022-05-05	succeeded CreatePlace(RedCottage, Cottage)
14:38:06.28353 2022-05-05	started EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:38:06.28486 2022-05-05	succeeded EnableIcon("Open_Red_House_Door", Open, RedCottage.Door, "Red House Door", true)
14:38:06.28650 2022-05-05	started CreatePlace(BlueCottage, Cottage)
14:38:06.58343 2022-05-05	succeeded CreatePlace(BlueCottage, Cottage)
14:38:06.58514 2022-05-05	started EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
14:38:06.58633 2022-05-05	succeeded EnableIcon("Open_Blue_House_Door", Open, BlueCottage.Door, "Blue House Door", true)
14:38:06.58821 2022-05-05	started CreateCharacter(Kate,C)
14:38:06.59971 2022-05-05	succeeded CreateCharacter(Kate,C)
14:38:06.60442 2022-05-05	started SetHairStyle(Kate,Long)
14:38:06.61796 2022-05-05	succeeded SetHairStyle(Kate,Long)
14:38:06.63513 2022-05-05	started SetClothing(Kate,Queen)
14:38:06.65696 2022-05-05	succeeded SetClothing(Kate,Queen)
14:38:06.66808 2022-05-05	started CreateCharacter(Bob,F)
14:38:06.68376 2022-05-05	succeeded CreateCharacter(Bob,F)
14:38:06.70610 2022-05-05	started SetHairStyle(Bob,Mage_Full)
14:38:06.71717 2022-05-05	succeeded SetHairStyle(Bob,Mage_Full)
14:38:06.73437 2022-05-05	started SetClothing(Bob,HeavyArmour)
14:38:06.75132 2022-05-05	succeeded SetClothing(Bob,HeavyArmour)
14:38:06.76788 2022-05-05	started SetPosition(Kate,MainCity.Fountain)
14:38:07.06804 2022-05-05	succeeded SetPosition(Kate,MainCity.Fountain)
14:38:07.08419 2022-05-05	started SetPosition(Bob,MainCity.NorthEnd)
14:38:07.38345 2022-05-05	succeeded SetPosition(Bob,MainCity.NorthEnd)
14:38:07.40172 2022-05-05	started CreateCharacter(Tom,D)
14:38:07.41832 2022-05-05	succeeded CreateCharacter(Tom,D)
14:38:07.43438 2022-05-05	started SetHairStyle(Tom,Short, Short_Beard, Short_Full)
14:38:07.45179 2022-05-05	succeeded SetHairStyle(Tom,Short, Short_Beard, Short_Full)
14:38:07.46745 2022-05-05	started SetClothing(Tom,Merchant)
14:38:07.48376 2022-05-05	succeeded SetClothing(Tom,Merchant)
14:38:07.50214 2022-05-05	started CreateCharacter(Emma,A)
14:38:07.51832 2022-05-05	succeeded CreateCharacter(Emma,A)
14:38:07.53507 2022-05-05	started SetHairStyle(Emma,Ponytail)
14:38:07.55059 2022-05-05	succeeded SetHairStyle(Emma,Ponytail)
14:38:07.56769 2022-05-05	started SetClothing(Emma,Merchant)
14:38:07.58428 2022-05-05	succeeded SetClothing(Emma,Merchant)
14:38:07.60109 2022-05-05	started CreateCharacter(Isabella,E)
14:38:07.61820 2022-05-05	succeeded CreateCharacter(Isabella,E)
14:38:07.63457 2022-05-05	started SetHairStyle(Isabella,Straight)
14:38:07.65100 2022-05-05	succeeded SetHairStyle(Isabella,Straight)
14:38:07.66770 2022-05-05	started SetClothing(Isabella,Bandit)
14:38:07.68396 2022-05-05	succeeded SetClothing(Isabella,Bandit)
14:38:07.70131 2022-05-05	started SetPosition(Tom,MainCity.EastEnd)
14:38:08.00072 2022-05-05	succeeded SetPosition(Tom,MainCity.EastEnd)
14:38:08.01757 2022-05-05	started SetPosition(Emma,MainCity.Bench.Right)
14:38:08.31713 2022-05-05	succeeded SetPosition(Emma,MainCity.Bench.Right)
14:38:08.33455 2022-05-05	started SetPosition(Isabella,MainCity.Plant)
14:38:08.63458 2022-05-05	succeeded SetPosition(Isabella,MainCity.Plant)
14:38:08.65189 2022-05-05	started CreateItem(poison_apple,Apple)
14:38:08.66778 2022-05-05	succeeded CreateItem(poison_apple,Apple)
14:38:08.68381 2022-05-05	started SetPosition(poison_apple,GreenCottage.Shelf.Left)
14:38:08.98442 2022-05-05	succeeded SetPosition(poison_apple,GreenCottage.Shelf.Left)
14:38:09.00351 2022-05-05	started EnableEffect(poison_apple,Poison)
14:38:09.01713 2022-05-05	succeeded EnableEffect(poison_apple,Poison)
14:38:09.03430 2022-05-05	started CreateItem(small_medicine,Bottle)
14:38:09.05072 2022-05-05	succeeded CreateItem(small_medicine,Bottle)
14:38:09.06742 2022-05-05	started SetPosition(small_medicine,BrownCottage.Shelf.Right)
14:38:09.36849 2022-05-05	succeeded SetPosition(small_medicine,BrownCottage.Shelf.Right)
14:38:09.38406 2022-05-05	started EnableEffect(small_medicine,Magic)
14:38:09.40135 2022-05-05	succeeded EnableEffect(small_medicine,Magic)
14:38:09.41766 2022-05-05	started CreateItem(expensive_medicine,GoldCup)
14:38:09.43441 2022-05-05	succeeded CreateItem(expensive_medicine,GoldCup)
14:38:09.45107 2022-05-05	started SetPosition(expensive_medicine,RedCottage.Shelf.Left)
